date,SPY Close,SMA2,SMA13,Signal,Buy/Sell
1999-11-01,135.5625,,,0.0,
1999-11-02,134.5937,135.0781,,0.0,0.0
1999-11-03,135.5,135.04685,,0.0,0.0
1999-11-04,136.5312,136.0156,,0.0,0.0
1999-11-05,137.875,137.2031,,0.0,0.0
1999-11-08,138.0,137.9375,,0.0,0.0
1999-11-09,136.7031,137.35155,,0.0,0.0
1999-11-10,137.7187,137.2109,,0.0,0.0
1999-11-11,138.5,138.10935,,0.0,0.0
1999-11-12,139.75,139.125,,0.0,0.0
1999-11-15,140.0781,139.91405,,0.0,0.0
1999-11-16,141.25,140.66405,,0.0,0.0
1999-11-17,141.625,141.4375,137.97594615384614,1.0,1.0
1999-11-18,142.625,142.125,138.51921538461536,1.0,0.0
1999-11-19,142.5,142.5625,139.12739230769228,1.0,0.0
1999-11-22,142.4687,142.48435,139.6634461538461,1.0,0.0
1999-11-23,141.2187,141.8437,140.02402307692304,1.0,0.0
1999-11-24,141.9687,141.5937,140.33892307692304,1.0,0.0
1999-11-26,141.4375,141.7031,140.6033461538461,1.0,0.0
1999-11-29,140.9375,141.1875,140.9290692307692,1.0,0.0
1999-11-30,139.2812,140.10935,141.0492615384615,0.0,-1.0
1999-12-01,140.4062,139.8437,141.19589230769228,0.0,0.0
1999-12-02,141.25,140.8281,141.3112769230769,0.0,0.0
1999-12-03,143.8437,142.54685,141.60093846153842,1.0,1.0
1999-12-06,142.7812,143.31245,141.71872307692306,1.0,0.0
1999-12-07,141.625,142.2031,141.71872307692306,1.0,0.0
1999-12-08,140.7187,141.17185,141.5720846153846,0.0,-1.0
1999-12-09,141.4062,141.06245,141.4879461538461,0.0,0.0
1999-12-10,141.875,141.6406,141.4422769230769,1.0,1.0
1999-12-13,142.125,142.0,141.51199230769228,1.0,0.0
1999-12-14,140.75,141.4375,141.41824615384616,1.0,0.0
1999-12-15,141.5,141.125,141.42305384615383,0.0,-1.0
1999-12-16,142.125,141.8125,141.5144,1.0,1.0
1999-12-17,142.6875,142.40625,141.77642307692307,1.0,0.0
1999-12-20,141.6562,142.17185,141.8725769230769,1.0,0.0
1999-12-21,143.8125,142.73435,142.0696923076923,1.0,0.0
1999-12-22,144.1875,144.0,142.09613846153846,1.0,0.0
1999-12-23,146.4843,145.33589999999998,142.38099230769234,1.0,0.0
1999-12-27,146.2812,146.38275,142.73916153846156,1.0,0.0
1999-12-28,146.1875,146.23435,143.15983846153847,1.0,0.0
1999-12-29,146.8125,146.5,143.57570769230773,1.0,0.0
1999-12-30,146.6406,146.72655,143.94229230769233,1.0,0.0
1999-12-31,146.875,146.7578,144.30767692307694,1.0,0.0
2000-01-03,145.4375,146.15625,144.66825384615387,1.0,0.0
2000-01-04,139.75,142.59375,144.5336384615385,0.0,-1.0
2000-01-05,140.0,139.875,144.37017692307694,0.0,0.0
2000-01-06,137.75,138.875,143.99036923076926,0.0,0.0
2000-01-07,145.75,141.75,144.30527692307695,0.0,0.0
2000-01-10,146.25,146.0,144.49277692307695,1.0,1.0
2000-01-11,144.5,145.375,144.5168153846154,1.0,0.0
2000-01-12,143.0625,143.78125,144.2536,0.0,-1.0
2000-01-13,145.0,144.03125,144.15504615384617,0.0,0.0
2000-01-14,146.9687,145.98435,144.21513846153846,1.0,1.0
2000-01-18,145.8125,146.3906,144.1382153846154,1.0,0.0
2000-01-19,147.0,146.40625,144.16586153846154,1.0,0.0
2000-01-20,144.75,145.875,144.00240000000002,1.0,0.0
2000-01-21,144.4375,144.59375,143.92547692307693,1.0,0.0
2000-01-24,140.3437,142.3906,143.97114615384618,0.0,-1.0
2000-01-25,141.9375,141.1406,144.12018461538463,0.0,0.0
2000-01-26,140.8125,141.375,144.35576153846156,0.0,0.0
2000-01-27,140.25,140.53125,143.93268461538463,0.0,0.0
2000-01-28,135.875,138.0625,143.13460769230772,0.0,0.0
2000-01-31,139.5625,137.71875,142.75480000000002,0.0,0.0
2000-02-01,140.9375,140.25,142.59133846153847,0.0,0.0
2000-02-02,141.0625,141.0,142.28845384615386,0.0,0.0
2000-02-03,143.1875,142.125,141.99759230769234,1.0,1.0
2000-02-04,142.5937,142.8906,141.74999230769234,1.0,0.0
2000-02-07,142.375,142.48435,141.39422307692308,1.0,0.0
2000-02-08,144.3125,143.34375,141.36056923076924,1.0,0.0
2000-02-09,141.2812,142.79685,141.11777692307695,1.0,0.0
2000-02-10,141.5625,141.42185,141.2115307692308,1.0,0.0
2000-02-11,138.6875,140.125,140.9615307692308,0.0,-1.0
2000-02-14,139.5,139.09375,140.86056923076924,0.0,0.0
2000-02-15,141.0781,140.28905,140.92426923076926,0.0,0.0
2000-02-16,139.0,140.03905,141.16465384615387,0.0,0.0
2000-02-17,138.2812,138.6406,141.06609230769234,0.0,0.0
2000-02-18,135.3125,136.79685,140.63340000000002,0.0,0.0
2000-02-22,134.9687,135.1406,140.16464615384618,0.0,0.0
2000-02-23,136.5625,135.7656,139.6550307692308,0.0,0.0
2000-02-24,133.8125,135.1875,138.97955384615386,0.0,0.0
2000-02-25,133.3281,133.5703,138.2836384615385,0.0,0.0
2000-02-28,136.125,134.72655,137.65383076923078,0.0,0.0
2000-02-29,137.4375,136.78125,137.35816153846156,0.0,0.0
2000-03-01,138.4375,137.9375,137.11777692307695,1.0,1.0
2000-03-02,138.5312,138.48435,137.10575384615385,1.0,0.0
2000-03-03,141.125,139.8281,137.23075384615385,1.0,0.0
2000-03-06,139.75,140.4375,137.12859230769232,1.0,0.0
2000-03-07,137.0468,138.39839999999998,136.97834615384616,1.0,0.0
2000-03-08,136.875,136.96089999999998,136.87017692307694,1.0,0.0
2000-03-09,140.875,138.875,137.29806153846155,1.0,0.0
2000-03-10,140.125,140.5,137.6947,1.0,0.0
2000-03-13,138.5937,139.35935,137.85094615384617,1.0,0.0
